Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_10	1	1	1	1	0	0	15851	15851	15851	15851	0	0	1	15851	15851	4215688	38.68	43.92	15851	-	15851	-	15851.0	59.6	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	15851	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_11	1	1	1	1	0	0	12956	12956	12956	12956	0	0	1	12956	12956	4215688	39.17	43.92	12956	-	12956	-	12956.0	39.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	12956	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_13	1	1	1	0	0	0	5239	5239	5239	0	0	0	1	5239	5239	4215688	43.02	43.92	5239	-	5239	-	5239.0	6.5	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	5239	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_14	1	1	1	0	0	0	5546	5546	5546	0	0	0	1	5546	5546	4215688	45.62	43.92	5546	-	5546	-	5546.0	7.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	5546	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_15	1	1	1	0	0	0	5224	5224	5224	0	0	0	1	5224	5224	4215688	42.92	43.92	5224	-	5224	-	5224.0	6.5	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	5224	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_17	1	1	1	1	1	1	427015	427015	427015	427015	427015	427015	1	427015	427015	4215688	38.62	43.92	427015	-	427015	-	427015.0	43253.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	427015	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_18	1	1	1	1	1	1	181781	181781	181781	181781	181781	181781	1	181781	181781	4215688	39.74	43.92	181781	-	181781	-	181781.0	7838.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	181781	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_19	1	1	1	1	1	1	449190	449190	449190	449190	449190	449190	1	449190	449190	4215688	38.07	43.92	449190	-	449190	-	449190.0	47862.1	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	449190	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_1	1	1	1	1	1	1	4744055	4744055	4744055	4744055	4744055	4744055	1	4744055	4744055	4215688	52.09	43.92	4744055	4744055	4744055	4744055	4744055.0	5338644.1	1	1	1	1	0	0	0	0	0	0	0	0 + 1 part	4743972	0.002	1.000	0.00	2409.64	0.00	83	83	-	-	-	-	0.0	0.0	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_20	1	1	1	1	1	1	1415468	1415468	1415468	1415468	1415468	1415468	1	1415468	1415468	4215688	37.54	43.92	1415468	-	1415468	-	1415468.0	475260.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	1415468	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_21	1	1	1	1	1	1	102289	102289	102289	102289	102289	102289	1	102289	102289	4215688	37.65	43.92	102289	-	102289	-	102289.0	2481.9	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	102289	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_22	1	1	1	1	1	1	912272	912272	912272	912272	912272	912272	1	912272	912272	4215688	37.91	43.92	912272	-	912272	-	912272.0	197415.0	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	912272	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_23	1	1	1	1	1	1	450929	450929	450929	450929	450929	450929	1	450929	450929	4215688	37.88	43.92	450929	-	450929	-	450929.0	48233.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	450929	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_24	1	1	1	1	0	0	10574	10574	10574	10574	0	0	1	10574	10574	4215688	43.99	43.92	10574	-	10574	-	10574.0	26.5	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	10574	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_26	1	1	1	1	1	1	2715603	2715603	2715603	2715603	2715603	2715603	1	2715603	2715603	4215688	32.63	43.92	2715603	2715603	2715603	-	2715603.0	1749299.2	1	1	1	-	0	0	0	0	0	0	0	0 + 1 part	2715439	0.004	0.994	0.00	1829.27	2439.02	164	164	-	-	-	-	0.0	0.0	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_28	1	1	1	1	1	1	397967	397967	397967	397967	397967	397967	1	397967	397967	4215688	38.25	43.92	397967	-	397967	-	397967.0	37568.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	397967	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_29	1	1	1	1	0	0	22052	22052	22052	22052	0	0	1	22052	22052	4215688	40.66	43.92	22052	-	22052	-	22052.0	115.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	22052	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_2	1	1	1	1	1	1	4753821	4753821	4753821	4753821	4753821	4753821	1	4753821	4753821	4215688	50.47	43.92	4753821	4753821	4753821	4753821	4753821.0	5360646.7	1	1	1	1	0	0	0	0	0	0	0	0 + 1 part	4753738	0.002	1.000	0.00	2409.64	0.00	83	83	-	-	-	-	0.0	0.0	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_31	1	1	1	1	1	1	67397	67397	67397	67397	67397	67397	1	67397	67397	4215688	37.18	43.92	67397	-	67397	-	67397.0	1077.5	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	67397	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_34	1	1	1	1	1	0	44907	44907	44907	44907	44907	0	1	44907	44907	4215688	39.01	43.92	44907	-	44907	-	44907.0	478.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	44907	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_35	1	1	1	1	1	1	590060	590060	590060	590060	590060	590060	1	590060	590060	4215688	37.74	43.92	590060	-	590060	-	590060.0	82589.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	590060	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_36	1	1	1	1	1	0	39250	39250	39250	39250	39250	0	1	39250	39250	4215688	41.37	43.92	39250	-	39250	-	39250.0	365.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	39250	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_37	1	1	1	1	1	1	163162	163162	163162	163162	163162	163162	1	163162	163162	4215688	38.44	43.92	163162	-	163162	-	163162.0	6314.9	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	163162	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_38	1	1	1	1	1	1	101960	101960	101960	101960	101960	101960	1	101960	101960	4215688	38.42	43.92	101960	-	101960	-	101960.0	2466.0	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	101960	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_39	1	1	1	1	1	1	182375	182375	182375	182375	182375	182375	1	182375	182375	4215688	38.07	43.92	182375	-	182375	-	182375.0	7889.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	182375	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_3	1	1	1	1	1	1	2985307	2985307	2985307	2985307	2985307	2985307	1	2985307	2985307	4215688	37.93	43.92	2985307	2985307	2985307	-	2985307.0	2114022.2	1	1	1	-	0	0	0	0	0	0	0	0 + 1 part	2985230	0.002	0.987	0.00	0.00	1298.70	77	77	-	-	-	-	0.0	0.0	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_40	1	1	1	1	1	1	544240	544240	544240	544240	544240	544240	1	544240	544240	4215688	37.95	43.92	544240	-	544240	-	544240.0	70260.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	544240	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_41	1	1	1	1	1	1	195610	195610	195610	195610	195610	195610	1	195610	195610	4215688	38.33	43.92	195610	-	195610	-	195610.0	9076.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	195610	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_42	1	1	1	1	0	0	24220	24220	24220	24220	0	0	1	24220	24220	4215688	38.03	43.92	24220	-	24220	-	24220.0	139.1	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	24220	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_44	1	1	1	1	1	1	334604	334604	334604	334604	334604	334604	1	334604	334604	4215688	37.80	43.92	334604	-	334604	-	334604.0	26557.9	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	334604	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_45	1	1	1	1	1	1	417910	417910	417910	417910	417910	417910	1	417910	417910	4215688	37.61	43.92	417910	-	417910	-	417910.0	41428.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	417910	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_46	1	1	1	1	1	1	349787	349787	349787	349787	349787	349787	1	349787	349787	4215688	37.71	43.92	349787	-	349787	-	349787.0	29022.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	349787	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_47	1	1	1	1	1	1	6783579	6783579	6783579	6783579	6783579	6783579	1	6783579	6783579	4215688	66.19	43.92	6783579	6783579	6783579	6783579	6783579.0	10915642.7	1	1	1	1	-	-	-	-	-	-	-	1 + 0 part	6783579	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_48	1	1	1	1	1	1	472517	472517	472517	472517	472517	472517	1	472517	472517	4215688	37.84	43.92	472517	-	472517	-	472517.0	52962.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	472517	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_49	1	1	1	0	0	0	9091	9091	9091	0	0	0	1	9091	9091	4215688	43.75	43.92	9091	-	9091	-	9091.0	19.6	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	9091	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_4	1	1	1	0	0	0	6006	6006	6006	0	0	0	1	6006	6006	4215688	50.33	43.92	6006	-	6006	-	6006.0	8.6	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	6006	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-1000000.flye.contig_50	1	1	1	1	0	0	23717	23717	23717	23717	0	0	1	23717	23717	4215688	36.18	43.92	23717	-	23717	-	23717.0	133.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	23717	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
